lipid_system,property,chain,type,T_bin,n_values,mean,median,std,min,max,spread_pct,n_sources,n_force_fields,unit
DPhyPC,area_per_lipid,-,experimental,30C,1,80.6,80.6,0.0,80.6,80.6,0.0,1,0,A^2
DPhyPC,area_per_lipid,-,experimental,50C,1,83.6,83.6,0.0,83.6,83.6,0.0,1,0,A^2
DPhyPC,area_per_lipid,-,experimental,60C,1,84.8,84.8,0.0,84.8,84.8,0.0,1,0,A^2
DRPC,area_per_lipid,-,computational,60C,3,70.22,70.32,0.1558,70.0,70.34,0.5,1,1,A^2
DSPC,area_per_lipid,-,computational,60C,1,50.85,50.85,0.0,50.85,50.85,0.0,1,1,A^2
DSPC,area_per_lipid,-,computational,65C,1,61.32,61.32,0.0,61.32,61.32,0.0,1,1,A^2
DSPC,area_per_lipid,-,experimental,60C,1,63.8,63.8,0.0,63.8,63.8,0.0,1,0,A^2
DYPC,area_per_lipid,-,computational,60C,3,70.8067,70.85,0.091,70.68,70.89,0.3,1,1,A^2
ERG:POPC:SM16 (26:51:51),area_per_lipid,-,computational,20C,1,46.42,46.42,0.0,46.42,46.42,0.0,1,1,A^2
ERG:POPC:SM16 (38:45:44),area_per_lipid,-,computational,20C,1,42.91,42.91,0.0,42.91,42.91,0.0,1,1,A^2
PAPC,area_per_lipid,-,computational,30C,2,69.67,69.67,0.07,69.6,69.74,0.2,1,1,A^2
PDPC,area_per_lipid,-,computational,30C,2,70.31,70.31,0.05,70.26,70.36,0.1,1,1,A^2
PILPC,area_per_lipid,-,computational,30C,2,66.615,66.615,0.015,66.6,66.63,0.0,1,1,A^2
POPC,area_per_lipid,-,computational,25C,95,63.192,63.53,4.389,45.99,76.91,48.9,78,10,A^2
POPC,area_per_lipid,-,computational,30C,51,63.4845,64.27,2.5263,55.67,70.75,23.8,39,6,A^2
POPC,area_per_lipid,-,computational,35C,65,63.5997,64.53,2.7388,56.29,68.8,19.7,42,7,A^2
POPC,area_per_lipid,-,computational,40C,36,63.2828,63.095,1.5149,60.76,66.85,9.6,6,3,A^2
POPC,area_per_lipid,-,computational,55C,2,64.685,64.685,2.705,61.98,67.39,8.4,2,1,A^2
POPC,area_per_lipid,-,computational,75C,2,67.23,67.23,2.75,64.48,69.98,8.2,2,1,A^2
POPC,area_per_lipid,-,computational,95C,2,70.015,70.015,2.775,67.24,72.79,7.9,2,1,A^2
POPC,area_per_lipid,-,experimental,20C,1,62.7,62.7,0.0,62.7,62.7,0.0,1,0,A^2
POPC,area_per_lipid,-,experimental,30C,1,64.3,64.3,0.0,64.3,64.3,0.0,1,0,A^2
POPC,area_per_lipid,-,experimental,50C,1,67.3,67.3,0.0,67.3,67.3,0.0,1,0,A^2
POPC,area_per_lipid,-,experimental,60C,1,68.1,68.1,0.0,68.1,68.1,0.0,1,0,A^2
POPC:CER (256:25),area_per_lipid,-,computational,35C,2,61.74,61.74,0.0,61.74,61.74,0.0,2,1,A^2
POPC:CER (4:1),area_per_lipid,-,computational,35C,1,58.12,58.12,0.0,58.12,58.12,0.0,1,1,A^2
POPC:CHOL (100:11),area_per_lipid,-,computational,35C,1,60.16,60.16,0.0,60.16,60.16,0.0,1,1,A^2
POPC:CHOL (100:43),area_per_lipid,-,computational,35C,1,48.9,48.9,0.0,48.9,48.9,0.0,1,1,A^2
POPC:CHOL (100:67),area_per_lipid,-,computational,35C,1,44.92,44.92,0.0,44.92,44.92,0.0,1,1,A^2
POPC:CHOL (13:19),area_per_lipid,-,computational,30C,1,40.84,40.84,0.0,40.84,40.84,0.0,1,1,A^2
POPC:CHOL (13:19),area_per_lipid,-,computational,35C,1,40.99,40.99,0.0,40.99,40.99,0.0,1,1,A^2
POPC:CHOL (15:1),area_per_lipid,-,computational,25C,1,62.17,62.17,0.0,62.17,62.17,0.0,1,1,A^2
POPC:CHOL (15:1),area_per_lipid,-,computational,30C,1,61.29,61.29,0.0,61.29,61.29,0.0,1,1,A^2
POPC:CHOL (19:13),area_per_lipid,-,computational,35C,1,44.31,44.31,0.0,44.31,44.31,0.0,1,1,A^2
POPC:CHOL (1:1),area_per_lipid,-,computational,25C,1,40.59,40.59,0.0,40.59,40.59,0.0,1,1,A^2
POPC:CHOL (1:1),area_per_lipid,-,computational,30C,3,41.8033,42.26,0.8289,40.64,42.51,4.5,3,3,A^2
POPC:CHOL (1:1),area_per_lipid,-,computational,35C,2,42.255,42.255,0.075,42.18,42.33,0.4,2,2,A^2
POPC:CHOL (21:11),area_per_lipid,-,computational,25C,1,45.03,45.03,0.0,45.03,45.03,0.0,1,1,A^2
POPC:CHOL (21:11),area_per_lipid,-,computational,30C,1,45.98,45.98,0.0,45.98,45.98,0.0,1,1,A^2
POPC:CHOL (25:39),area_per_lipid,-,computational,25C,1,38.9,38.9,0.0,38.9,38.9,0.0,1,1,A^2
POPC:CHOL (27:5),area_per_lipid,-,computational,30C,1,56.4,56.4,0.0,56.4,56.4,0.0,1,1,A^2
POPC:CHOL (32:13),area_per_lipid,-,computational,25C,12,47.5617,46.935,1.5369,45.66,50.24,9.6,4,4,A^2
POPC:CHOL (4:1),area_per_lipid,-,computational,25C,12,52.8217,52.13,1.6891,51.07,55.69,8.7,4,4,A^2
POPC:CHOL (4:1),area_per_lipid,-,computational,35C,1,54.15,54.15,0.0,54.15,54.15,0.0,1,1,A^2
POPC:CHOL (55:9),area_per_lipid,-,computational,25C,1,55.88,55.88,0.0,55.88,55.88,0.0,1,1,A^2
POPC:CHOL (57:7),area_per_lipid,-,computational,35C,1,61.14,61.14,0.0,61.14,61.14,0.0,1,1,A^2
POPC:CHOL (7:3),area_per_lipid,-,computational,30C,3,47.34,47.61,0.5449,46.58,47.83,2.6,3,1,A^2
POPC:CHOL (8:1),area_per_lipid,-,computational,25C,12,58.6158,58.24,1.7266,56.68,61.39,8.0,4,4,A^2
POPC:CHOL (8:5),area_per_lipid,-,computational,25C,12,43.7958,43.645,1.111,42.26,45.55,7.5,4,4,A^2
POPC:CHOL (8:7),area_per_lipid,-,computational,25C,12,41.9375,42.065,0.6757,40.87,42.81,4.6,4,4,A^2
POPC:CHOL:SAPI25 (119:23:8),area_per_lipid,-,computational,25C,1,53.91,53.91,0.0,53.91,53.91,0.0,1,1,A^2
POPC:CHOL:SAPI25 (127:15:8),area_per_lipid,-,computational,25C,1,57.1,57.1,0.0,57.1,57.1,0.0,1,1,A^2
