source_doi,source_citation,type,n
10.5281/zenodo.6943413,NMRlipidsDatabank_ID637,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID638,computational,4
10.5281/zenodo.6943929,NMRlipidsDatabank_ID640,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID697,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID587,computational,4
10.5281/zenodo.6943929,NMRlipidsDatabank_ID642,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID675,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID699,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID698,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID553,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID577,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID695,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID690,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID679,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID677,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID674,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID708,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID671,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID665,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID660,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID658,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID578,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID655,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID712,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID709,computational,4
10.5281/zenodo.6943929,NMRlipidsDatabank_ID641,computational,4
10.5281/zenodo.6943929,NMRlipidsDatabank_ID643,computational,4
10.5281/zenodo.7061800,NMRlipidsDatabank_ID704,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID664,computational,4
10.5281/zenodo.6992065,NMRlipidsDatabank_ID694,computational,4
10.5281/zenodo.6992065,NMRlipidsDatabank_ID700,computational,4
10.5281/zenodo.6992065,NMRlipidsDatabank_ID707,computational,4
10.5281/zenodo.6992065,NMRlipidsDatabank_ID714,computational,4
10.5281/zenodo.6992065,NMRlipidsDatabank_ID715,computational,4
10.5281/zenodo.6992065,NMRlipidsDatabank_ID717,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID659,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID661,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID668,computational,4
10.5281/zenodo.6992065,NMRlipidsDatabank_ID688,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID670,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID672,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID681,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID693,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID692,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID691,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID682,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID687,computational,4
10.5281/zenodo.6992065,NMRlipidsDatabank_ID689,computational,4
10.5281/zenodo.6992065,NMRlipidsDatabank_ID686,computational,4
10.5281/zenodo.6943929,NMRlipidsDatabank_ID644,computational,4
10.5281/zenodo.6943929,NMRlipidsDatabank_ID653,computational,4
10.5281/zenodo.6943929,NMRlipidsDatabank_ID645,computational,4
10.5281/zenodo.6943929,NMRlipidsDatabank_ID646,computational,4
10.5281/zenodo.6943929,NMRlipidsDatabank_ID647,computational,4
10.5281/zenodo.6943929,NMRlipidsDatabank_ID648,computational,4
